Date : 2023-06-21 21:43:09
Directory : c:\Users\nico\Desktop\G6VP\G6VP
Total : 1436 files,  306930 codes, 6444 comments, 14143 blanks, all 327517 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| packages\gi-common-components (Files)                                                                                            |          6 |        136 |          1 |         22 |        159 |
| packages\gi-common-components\src                                                                                                |         50 |     11,871 |        196 |        319 |     12,386 |
| packages\gi-common-components\src (Files)                                                                                        |          1 |         17 |          2 |          1 |         20 |
| packages\gi-common-components\src\CommonStyleSetting                                                                             |         11 |        849 |         46 |         69 |        964 |
| packages\gi-common-components\src\CommonStyleSetting (Files)                                                                     |          3 |        306 |         40 |         27 |        373 |
| packages\gi-common-components\src\CommonStyleSetting\ColorInput                                                                  |          2 |         67 |          1 |          8 |         76 |
| packages\gi-common-components\src\CommonStyleSetting\GroupSelect                                                                 |          2 |         50 |          0 |          7 |         57 |
| packages\gi-common-components\src\CommonStyleSetting\IconPicker                                                                  |          3 |        302 |          5 |         20 |        327 |
| packages\gi-common-components\src\CommonStyleSetting\IconSelector                                                                |          1 |        124 |          0 |          7 |        131 |
| packages\gi-common-components\src\FilterPanel                                                                                    |         14 |      2,310 |        104 |        127 |      2,541 |
| packages\gi-common-components\src\FilterPanel (Files)                                                                            |          5 |        612 |         81 |         60 |        753 |
| packages\gi-common-components\src\FilterPanel\Charts                                                                             |          6 |        375 |         22 |         57 |        454 |
| packages\gi-common-components\src\FilterPanel\demos                                                                              |          3 |      1,323 |          1 |         10 |      1,334 |
| packages\gi-common-components\src\FormilyForm                                                                                    |          5 |        238 |          8 |         30 |        276 |
| packages\gi-common-components\src\FormilyForm (Files)                                                                            |          1 |          3 |          0 |          1 |          4 |
| packages\gi-common-components\src\FormilyForm\AssetCollapse                                                                      |          1 |         32 |          1 |          9 |         42 |
| packages\gi-common-components\src\FormilyForm\FormCollapse                                                                       |          2 |        165 |          2 |         15 |        182 |
| packages\gi-common-components\src\FormilyForm\Offset                                                                             |          1 |         38 |          5 |          5 |         48 |
| packages\gi-common-components\src\GroupContainer                                                                                 |          7 |        506 |         13 |         48 |        567 |
| packages\gi-common-components\src\Handler                                                                                        |          1 |         95 |          0 |          9 |        104 |
| packages\gi-common-components\src\Icon                                                                                           |          2 |      7,582 |          5 |          8 |      7,595 |
| packages\gi-common-components\src\RadiusTabs                                                                                     |          2 |         70 |          0 |          6 |         76 |
| packages\gi-common-components\src\SchemaField                                                                                    |          2 |         79 |          2 |          7 |         88 |
| packages\gi-common-components\src\Utils                                                                                          |          5 |        125 |         16 |         14 |        155 |
| packages\gi-common-components\src\Utils (Files)                                                                                  |          2 |         20 |          1 |          2 |         23 |
| packages\gi-common-components\src\Utils\getAssets                                                                                |          3 |        105 |         15 |         12 |        132 |
| packages\gi-httpservice                                                                                                          |         42 |      5,636 |        570 |        575 |      6,781 |
| packages\gi-httpservice (Files)                                                                                                  |          7 |        161 |          5 |         31 |        197 |
| packages\gi-httpservice\app                                                                                                      |         31 |      5,414 |        554 |        526 |      6,494 |
| packages\gi-httpservice\app (Files)                                                                                              |          3 |        426 |         58 |         38 |        522 |
| packages\gi-httpservice\app\controller                                                                                           |         10 |        566 |        114 |        113 |        793 |
| packages\gi-httpservice\app\public                                                                                               |          3 |        122 |          1 |          4 |        127 |
| packages\gi-httpservice\app\service                                                                                              |         13 |      4,114 |        379 |        361 |      4,854 |
| packages\gi-httpservice\app\service (Files)                                                                                      |          7 |      2,278 |        302 |        308 |      2,888 |
| packages\gi-httpservice\app\service\graphinsight                                                                                 |          6 |      1,836 |         77 |         53 |      1,966 |
| packages\gi-httpservice\app\service\graphinsight (Files)                                                                         |          5 |        324 |         71 |         45 |        440 |
| packages\gi-httpservice\app\service\graphinsight\case                                                                            |          1 |      1,512 |          6 |          8 |      1,526 |
| packages\gi-httpservice\app\view                                                                                                 |          2 |        186 |          2 |         10 |        198 |
| packages\gi-httpservice\config                                                                                                   |          4 |         61 |         11 |         18 |         90 |
| packages\gi-mock-data                                                                                                            |          8 |     10,505 |          0 |          8 |     10,513 |
| packages\gi-mock-data (Files)                                                                                                    |          1 |         22 |          0 |          1 |         23 |
| packages\gi-mock-data\cdn                                                                                                        |          7 |     10,483 |          0 |          7 |     10,490 |
| packages\gi-portal                                                                                                               |         33 |      1,291 |         61 |        130 |      1,482 |
| packages\gi-portal (Files)                                                                                                       |          4 |        126 |          3 |          6 |        135 |
| packages\gi-portal\scripts                                                                                                       |          1 |         20 |          0 |          2 |         22 |
| packages\gi-portal\src                                                                                                           |         28 |      1,145 |         58 |        122 |      1,325 |
| packages\gi-portal\src\components                                                                                                |         14 |        587 |         15 |         63 |        665 |
| packages\gi-portal\src\components\Banner                                                                                         |          2 |        129 |          3 |         11 |        143 |
| packages\gi-portal\src\components\Feature                                                                                        |          2 |         73 |          1 |          7 |         81 |
| packages\gi-portal\src\components\Footer                                                                                         |          2 |         34 |          0 |          4 |         38 |
| packages\gi-portal\src\components\LanguageSwitch                                                                                 |          2 |        113 |          1 |         13 |        127 |
| packages\gi-portal\src\components\Navbar                                                                                         |          2 |        166 |          8 |         20 |        194 |
| packages\gi-portal\src\components\Pricing                                                                                        |          1 |          0 |          1 |          1 |          2 |
| packages\gi-portal\src\components\RoleSwitch                                                                                     |          3 |         72 |          1 |          7 |         80 |
| packages\gi-portal\src\i18n                                                                                                      |          5 |        122 |         36 |         10 |        168 |
| packages\gi-portal\src\i18n (Files)                                                                                              |          1 |         40 |         36 |          6 |         82 |
| packages\gi-portal\src\i18n\strings                                                                                              |          4 |         82 |          0 |          4 |         86 |
| packages\gi-portal\src\layouts                                                                                                   |          2 |         44 |          0 |          6 |         50 |
| packages\gi-portal\src\pages                                                                                                     |          7 |        392 |          7 |         43 |        442 |
| packages\gi-portal\src\pages (Files)                                                                                             |          4 |        237 |          2 |         29 |        268 |
| packages\gi-portal\src\pages\Case                                                                                                |          2 |         85 |          0 |          8 |         93 |
| packages\gi-portal\src\pages\Video                                                                                               |          1 |         70 |          5 |          6 |         81 |
| packages\gi-sdk                                                                                                                  |         50 |      4,673 |        453 |        401 |      5,527 |
| packages\gi-sdk (Files)                                                                                                          |          5 |        105 |          3 |         25 |        133 |
| packages\gi-sdk\src                                                                                                              |         45 |      4,568 |        450 |        376 |      5,394 |
| packages\gi-sdk\src (Files)                                                                                                      |          9 |        940 |        134 |         94 |      1,168 |
| packages\gi-sdk\src\components                                                                                                   |         11 |      1,172 |         28 |         68 |      1,268 |
| packages\gi-sdk\src\components (Files)                                                                                           |          4 |        673 |          1 |         20 |        694 |
| packages\gi-sdk\src\components\CollapseCard                                                                                      |          2 |         52 |          1 |          6 |         59 |
| packages\gi-sdk\src\components\EngineServer                                                                                      |          5 |        447 |         26 |         42 |        515 |
| packages\gi-sdk\src\constants                                                                                                    |          2 |        480 |         66 |          9 |        555 |
| packages\gi-sdk\src\hooks                                                                                                        |          1 |         89 |          6 |         12 |        107 |
| packages\gi-sdk\src\process                                                                                                      |         22 |      1,887 |        216 |        193 |      2,296 |
| packages\gi-site                                                                                                                 |        247 |    152,569 |      1,714 |      1,655 |    155,938 |
| packages\gi-site (Files)                                                                                                         |          3 |        289 |         11 |         14 |        314 |
| packages\gi-site\docker                                                                                                          |          2 |         30 |          6 |         15 |         51 |
| packages\gi-site\public                                                                                                          |         10 |    106,485 |        152 |          8 |    106,645 |
| packages\gi-site\public\css                                                                                                      |          4 |    106,239 |        152 |          8 |    106,399 |
| packages\gi-site\public\image                                                                                                    |          6 |        246 |          0 |          0 |        246 |
| packages\gi-site\scripts                                                                                                         |          5 |        359 |         13 |         38 |        410 |
| packages\gi-site\src                                                                                                             |        227 |     45,406 |      1,532 |      1,580 |     48,518 |
| packages\gi-site\src (Files)                                                                                                     |          1 |        168 |         17 |         16 |        201 |
| packages\gi-site\src\components                                                                                                  |         74 |      3,897 |        574 |        444 |      4,915 |
| packages\gi-site\src\components (Files)                                                                                          |          2 |         34 |         22 |          6 |         62 |
| packages\gi-site\src\components\ActionList                                                                                       |          2 |         23 |          0 |          4 |         27 |
| packages\gi-site\src\components\AntGroupLogin                                                                                    |          1 |         26 |          0 |          4 |         30 |
| packages\gi-site\src\components\AssetsCenter                                                                                     |          8 |        596 |         55 |         52 |        703 |
| packages\gi-site\src\components\AssetsSelect                                                                                     |          2 |         99 |          5 |          6 |        110 |
| packages\gi-site\src\components\BreathIndicator                                                                                  |          2 |         58 |          0 |          9 |         67 |
| packages\gi-site\src\components\CollapseCard                                                                                     |          2 |         48 |          3 |          6 |         57 |
| packages\gi-site\src\components\DataModeCard                                                                                     |          2 |         67 |         26 |          8 |        101 |
| packages\gi-site\src\components\DataSource                                                                                       |          5 |        308 |         13 |         33 |        354 |
| packages\gi-site\src\components\Empty                                                                                            |          1 |         30 |          0 |          4 |         34 |
| packages\gi-site\src\components\FileServerEngine                                                                                 |          8 |        663 |          7 |         70 |        740 |
| packages\gi-site\src\components\Loading                                                                                          |          2 |         93 |          2 |         12 |        107 |
| packages\gi-site\src\components\Navbar                                                                                           |         15 |        821 |         61 |         80 |        962 |
| packages\gi-site\src\components\Notification                                                                                     |          4 |        206 |         11 |         26 |        243 |
| packages\gi-site\src\components\ProjectCard                                                                                      |          2 |        132 |          1 |         13 |        146 |
| packages\gi-site\src\components\ProjectTitle                                                                                     |          2 |         47 |          1 |          8 |         56 |
| packages\gi-site\src\components\QRcode                                                                                           |          2 |         35 |          0 |          4 |         39 |
| packages\gi-site\src\components\RadioNote                                                                                        |          2 |         95 |          0 |          9 |        104 |
| packages\gi-site\src\components\SegmentedTabs                                                                                    |          2 |         80 |          0 |          9 |         89 |
| packages\gi-site\src\components\Sidebar                                                                                          |          2 |        104 |          4 |          8 |        116 |
| packages\gi-site\src\components\TabContent                                                                                       |          2 |         28 |          1 |          9 |         38 |
| packages\gi-site\src\components\ThemeVars                                                                                        |          2 |        285 |         38 |         52 |        375 |
| packages\gi-site\src\components\Tour                                                                                             |          2 |         19 |        324 |         12 |        355 |
| packages\gi-site\src\hooks                                                                                                       |          8 |        641 |         49 |        120 |        810 |
| packages\gi-site\src\layouts                                                                                                     |          3 |        142 |         25 |         20 |        187 |
| packages\gi-site\src\mock                                                                                                        |         11 |      9,437 |          0 |         14 |      9,451 |
| packages\gi-site\src\mock (Files)                                                                                                |          7 |      9,402 |          0 |         12 |      9,414 |
| packages\gi-site\src\mock\csv                                                                                                    |          4 |         35 |          0 |          2 |         37 |
| packages\gi-site\src\pages                                                                                                       |        114 |      9,861 |        708 |        852 |     11,421 |
| packages\gi-site\src\pages (Files)                                                                                               |          2 |         43 |          1 |          4 |         48 |
| packages\gi-site\src\pages\Analysis                                                                                              |         57 |      4,697 |        512 |        496 |      5,705 |
| packages\gi-site\src\pages\Analysis (Files)                                                                                      |          6 |        591 |         73 |         61 |        725 |
| packages\gi-site\src\pages\Analysis\DataServices                                                                                 |          1 |         82 |          1 |         15 |         98 |
| packages\gi-site\src\pages\Analysis\DataSource                                                                                   |          1 |         51 |          1 |          9 |         61 |
| packages\gi-site\src\pages\Analysis\MetaPanel                                                                                    |         24 |      2,656 |        235 |        260 |      3,151 |
| packages\gi-site\src\pages\Analysis\MetaPanel (Files)                                                                            |          2 |        159 |         71 |         28 |        258 |
| packages\gi-site\src\pages\Analysis\MetaPanel\ComponentPanel                                                                     |          5 |        662 |         60 |         69 |        791 |
| packages\gi-site\src\pages\Analysis\MetaPanel\ContainerPanel                                                                     |          6 |        982 |         76 |         76 |      1,134 |
| packages\gi-site\src\pages\Analysis\MetaPanel\DataPanel                                                                          |          7 |        597 |         12 |         52 |        661 |
| packages\gi-site\src\pages\Analysis\MetaPanel\LayoutPanel                                                                        |          1 |        120 |          9 |         22 |        151 |
| packages\gi-site\src\pages\Analysis\MetaPanel\StylesPanel                                                                        |          3 |        136 |          7 |         13 |        156 |
| packages\gi-site\src\pages\Analysis\getAssets                                                                                    |          9 |        319 |         37 |         37 |        393 |
| packages\gi-site\src\pages\Analysis\hooks                                                                                        |          1 |         20 |          1 |          6 |         27 |
| packages\gi-site\src\pages\Analysis\recommendTools                                                                               |         15 |        978 |        164 |        108 |      1,250 |
| packages\gi-site\src\pages\Analysis\recommendTools (Files)                                                                       |          4 |        274 |         22 |         31 |        327 |
| packages\gi-site\src\pages\Analysis\recommendTools\pipeline                                                                      |          2 |        210 |         29 |         21 |        260 |
| packages\gi-site\src\pages\Analysis\recommendTools\rules                                                                         |          9 |        494 |        113 |         56 |        663 |
| packages\gi-site\src\pages\Analysis\recommendTools\rules (Files)                                                                 |          8 |        461 |        100 |         47 |        608 |
| packages\gi-site\src\pages\Analysis\recommendTools\rules\concepts                                                                |          1 |         33 |         13 |          9 |         55 |
| packages\gi-site\src\pages\Assets                                                                                                |          9 |        867 |          7 |         41 |        915 |
| packages\gi-site\src\pages\AssetsList                                                                                            |          5 |        545 |         59 |         50 |        654 |
| packages\gi-site\src\pages\Dataset                                                                                               |          7 |        677 |         71 |         55 |        803 |
| packages\gi-site\src\pages\G6V5Demo                                                                                              |          2 |         29 |          0 |          4 |         33 |
| packages\gi-site\src\pages\Home                                                                                                  |          5 |        287 |          6 |         16 |        309 |
| packages\gi-site\src\pages\ServerCenter                                                                                          |          6 |        314 |          4 |         24 |        342 |
| packages\gi-site\src\pages\Share                                                                                                 |          1 |         92 |          7 |          7 |        106 |
| packages\gi-site\src\pages\Tab                                                                                                   |          3 |        215 |         10 |         20 |        245 |
| packages\gi-site\src\pages\Tab (Files)                                                                                           |          1 |         11 |          0 |          4 |         15 |
| packages\gi-site\src\pages\Tab\TableMode                                                                                         |          2 |        204 |         10 |         16 |        230 |
| packages\gi-site\src\pages\Template                                                                                              |          5 |        198 |          3 |         25 |        226 |
| packages\gi-site\src\pages\Workbook                                                                                              |          2 |        217 |          6 |         21 |        244 |
| packages\gi-site\src\pages\Workspace                                                                                             |         10 |      1,680 |         22 |         89 |      1,791 |
| packages\gi-site\src\pages\Workspace (Files)                                                                                     |          8 |      1,551 |         21 |         81 |      1,653 |
| packages\gi-site\src\pages\Workspace\Case                                                                                        |          2 |        129 |          1 |          8 |        138 |
| packages\gi-site\src\services                                                                                                    |         16 |     21,260 |        159 |        114 |     21,533 |
| packages\gi-site\src\services (Files)                                                                                            |         10 |        812 |        156 |         86 |      1,054 |
| packages\gi-site\src\services\case                                                                                               |          3 |      6,903 |          1 |         18 |      6,922 |
| packages\gi-site\src\services\initial.data                                                                                       |          3 |     13,545 |          2 |         10 |     13,557 |
| packages\gi-theme-antd                                                                                                           |         14 |        435 |         69 |         75 |        579 |
| packages\gi-theme-antd (Files)                                                                                                   |          6 |        145 |         18 |         19 |        182 |
| packages\gi-theme-antd\src                                                                                                       |          8 |        290 |         51 |         56 |        397 |
| packages\gi-theme-antd\src (Files)                                                                                               |          1 |          4 |          0 |          1 |          5 |
| packages\gi-theme-antd\src\components                                                                                            |          2 |        256 |         40 |         46 |        342 |
| packages\gi-theme-antd\src\theme                                                                                                 |          5 |         30 |         11 |          9 |         50 |
| packages\my-custom-server                                                                                                        |          8 |        255 |         10 |         28 |        293 |
| packages\my-custom-server (Files)                                                                                                |          4 |         84 |          0 |         12 |         96 |
| packages\my-custom-server\src                                                                                                    |          4 |        171 |         10 |         16 |        197 |
| packages\my-custom-server\src (Files)                                                                                            |          1 |          2 |          0 |          1 |          3 |
| packages\my-custom-server\src\services                                                                                           |          3 |        169 |         10 |         15 |        194 |
| scripts                                                                                                                          |          5 |         64 |          0 |         15 |         79 |
+----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                         | language           | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\nico\Desktop\G6VP\G6VP\.changeset\config.json                                                                           | JSON               |         11 |          0 |          1 |         12 |
| c:\Users\nico\Desktop\G6VP\G6VP\.dockerignore                                                                                    | Ignore             |          1 |          1 |          1 |          3 |
| c:\Users\nico\Desktop\G6VP\G6VP\.github\PULL_REQUEST_TEMPLATE.md                                                                 | Markdown           |         28 |          2 |         17 |         47 |
| c:\Users\nico\Desktop\G6VP\G6VP\.github\workflows\auto-release.yml                                                               | YAML               |         44 |          3 |          8 |         55 |
| c:\Users\nico\Desktop\G6VP\G6VP\.github\workflows\build-g6vp-images-linux.yml                                                    | YAML               |         40 |          4 |          9 |         53 |
| c:\Users\nico\Desktop\G6VP\G6VP\.github\workflows\lint.yml                                                                       | YAML               |         35 |          1 |          9 |         45 |
| c:\Users\nico\Desktop\G6VP\G6VP\.github\workflows\release-notify.yml                                                             | YAML               |         20 |          3 |          3 |         26 |
| c:\Users\nico\Desktop\G6VP\G6VP\.github\workflows\site-build-notify.yml                                                          | YAML               |         21 |          0 |          3 |         24 |
| c:\Users\nico\Desktop\G6VP\G6VP\.prettierignore                                                                                  | Ignore             |          5 |          0 |          1 |          6 |
| c:\Users\nico\Desktop\G6VP\G6VP\.prettierrc.js                                                                                   | JavaScript         |          7 |          0 |          1 |          8 |
| c:\Users\nico\Desktop\G6VP\G6VP\README.md                                                                                        | Markdown           |         51 |          0 |         35 |         86 |
| c:\Users\nico\Desktop\G6VP\G6VP\SECURITY.md                                                                                      | Markdown           |         19 |          0 |          8 |         27 |
| c:\Users\nico\Desktop\G6VP\G6VP\diagram\index.md                                                                                 | Markdown           |          2 |          0 |          2 |          4 |
| c:\Users\nico\Desktop\G6VP\G6VP\docs\CONTRIBUTING.en-US.md                                                                       | Markdown           |          1 |          0 |          1 |          2 |
| c:\Users\nico\Desktop\G6VP\G6VP\docs\CONTRIBUTING.md                                                                             | Markdown           |         62 |          0 |         31 |         93 |
| c:\Users\nico\Desktop\G6VP\G6VP\docs\README.en-US.md                                                                             | Markdown           |         51 |          0 |         35 |         86 |
| c:\Users\nico\Desktop\G6VP\G6VP\docs\changelog.md                                                                                | Markdown           |          5 |          0 |          2 |          7 |
| c:\Users\nico\Desktop\G6VP\G6VP\docs\trouble-shooting.en-US.md                                                                   | Markdown           |          0 |          0 |          1 |          1 |
| c:\Users\nico\Desktop\G6VP\G6VP\docs\trouble-shooting.md                                                                         | Markdown           |          7 |          0 |          5 |         12 |
| c:\Users\nico\Desktop\G6VP\G6VP\package.json                                                                                     | JSON               |         75 |          0 |          1 |         76 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\.fatherrc.js                                                          | JavaScript         |          6 |          0 |          1 |          7 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\CHANGELOG.md                                                          | Markdown           |         45 |          0 |         27 |         72 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\README.md                                                             | Markdown           |          3 |          0 |          3 |          6 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\package.json                                                          | JSON               |         69 |          0 |          1 |         70 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\AddSheetbar\Component.tsx                              | TypeScript JSX     |         42 |          0 |          6 |         48 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\AddSheetbar\index.md                                   | Markdown           |         14 |          0 |          4 |         18 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\AddSheetbar\index.tsx                                  | TypeScript JSX     |         18 |          1 |          4 |         23 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\AddSheetbar\registerMeta.ts                            | TypeScript         |         20 |          0 |          4 |         24 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\AjustLayout\Component.tsx                              | TypeScript JSX     |        292 |          6 |         24 |        322 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\AjustLayout\index.less                                 | Less               |         12 |          1 |          3 |         16 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\AjustLayout\index.md                                   | Markdown           |         25 |          0 |          5 |         30 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\AjustLayout\index.tsx                                  | TypeScript JSX     |         16 |          1 |          3 |         20 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\AjustLayout\registerMeta.ts                            | TypeScript         |          8 |          0 |          4 |         12 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\AnalysisHistory\Component.tsx                          | TypeScript JSX     |        262 |         45 |         20 |        327 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\AnalysisHistory\ConfigurePanel.tsx                     | TypeScript JSX     |         73 |         15 |          8 |         96 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\AnalysisHistory\FlowGraph.tsx                          | TypeScript JSX     |        121 |         41 |         15 |        177 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\AnalysisHistory\ParamterizePanel.tsx                   | TypeScript JSX     |        284 |         63 |         20 |        367 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\AnalysisHistory\TemplateDrawer.tsx                     | TypeScript JSX     |        350 |         54 |         19 |        423 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\AnalysisHistory\TemplateModal.tsx                      | TypeScript JSX     |        329 |         60 |         18 |        407 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\AnalysisHistory\flowNodeRegistry.tsx                   | TypeScript JSX     |        213 |         36 |          8 |        257 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\AnalysisHistory\index.less                             | Less               |        141 |          0 |          7 |        148 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\AnalysisHistory\index.md                               | Markdown           |         14 |          0 |          4 |         18 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\AnalysisHistory\index.tsx                              | TypeScript JSX     |          8 |          1 |          2 |         11 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\AnalysisHistory\info.ts                                | TypeScript         |         12 |          0 |          1 |         13 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\AnalysisHistory\registerMeta.ts                        | TypeScript         |         79 |          0 |          4 |         83 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\AnalysisHistory\type.tsx                               | TypeScript JSX     |         40 |          0 |          2 |         42 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\AnalysisHistory\util.tsx                               | TypeScript JSX     |        371 |        121 |         19 |        511 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\Assistant\Component.tsx                                | TypeScript JSX     |        194 |         27 |         25 |        246 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\Assistant\Dialog\index.less                            | Less               |         69 |          0 |         15 |         84 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\Assistant\Dialog\index.tsx                             | TypeScript JSX     |         12 |          0 |          2 |         14 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\Assistant\Dialog\input.tsx                             | TypeScript JSX     |         43 |          0 |          4 |         47 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\Assistant\Dialog\list.tsx                              | TypeScript JSX     |         29 |          0 |          4 |         33 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\Assistant\Dialog\message.tsx                           | TypeScript JSX     |         41 |          2 |          3 |         46 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\Assistant\Header\index.less                            | Less               |         50 |          0 |          8 |         58 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\Assistant\Header\index.tsx                             | TypeScript JSX     |         31 |          0 |          3 |         34 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\Assistant\constants.ts                                 | TypeScript         |          1 |          1 |          1 |          3 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\Assistant\context.ts                                   | TypeScript         |         13 |          0 |          2 |         15 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-advance\src\components\Assistant\hooks\useController.ts                       | TypeScript         |          8 |          0 |          4 |         12 |
